regime,start,end,n_days,annualized_return,annualized_vol,sharpe,max_drawdown,strategy
Rate-hike selloff,2022-04-21,2022-10-14,123,-0.31081517816667564,0.3079081984201831,-1.0094410599048929,-0.18587442104706298,ML (LSTM)
2023 banking crisis,2023-03-01,2023-05-15,53,-0.6383310208900644,0.2898466699883297,-2.202305863702923,-0.17249932367975662,ML (LSTM)
Recovery,2023-05-16,2023-11-29,137,0.1600538884334007,0.19761301359691086,0.8099359729409172,-0.19496086955640057,ML (LSTM)
Full period,2022-04-21,2023-11-29,405,-0.01544120413563058,0.25009750506023404,-0.061740736405633816,-0.22137431277513742,ML (LSTM)
Rate-hike selloff,2022-03-22,2022-10-14,144,-0.32158150740102065,0.29826077799236567,-1.0781890584663194,-0.24571182237292277,GARCH
2023 banking crisis,2023-03-01,2023-05-15,53,-0.6269660444639974,0.28964570224454694,-2.1645964003797022,-0.17215928682193193,GARCH
Recovery,2023-05-16,2023-11-29,137,0.1594181092863229,0.19554023571626472,0.8152701090001947,-0.1938092527049038,GARCH
Full period,2022-03-22,2023-11-29,426,-0.031545496659589375,0.24875152410356752,-0.12681528996966238,-0.24571182237292277,GARCH
Rate-hike selloff,2022-03-22,2022-10-14,144,-0.3278199908978361,0.29796565370248795,-1.1001938875316046,-0.2458879161702343,EWMA
2023 banking crisis,2023-03-01,2023-05-15,53,-0.6488021797949134,0.2891342064446461,-2.2439481919934114,-0.17312649346187814,EWMA
Recovery,2023-05-16,2023-11-29,137,0.16579811039615108,0.19327878856726977,0.8578184477726372,-0.1897291294545359,EWMA
Full period,2022-03-22,2023-11-29,426,-0.03524054357275453,0.2481253762478305,-0.14202716427341905,-0.2458879161702343,EWMA
Rate-hike selloff,2022-03-21,2022-10-14,145,-0.34710404600934414,0.2983292759242616,-1.163493072994503,-0.2500345841704835,Equal-weight
2023 banking crisis,2023-03-01,2023-05-15,53,-0.6302537843212378,0.29027744112831766,-2.1712117272062934,-0.1722366292069486,Equal-weight
Recovery,2023-05-16,2023-12-29,158,0.33909710296428713,0.20145347337164962,1.683252699935865,-0.19467044234855946,Equal-weight
Full period,2022-03-21,2023-12-29,448,0.03057464342469512,0.2487952607577233,0.12289077907504313,-0.2500345841704835,Equal-weight
